127.0.0.1 - - [06/Jul/2018:11:34:20 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:34:25 +0530] "GET /toursandtravelsmanagement/index.jsp HTTP/1.1" 200 22457
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:34:27 +0530] "GET /toursandtravelsmanagement/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:34:27 +0530] "GET /toursandtravelsmanagement/css/flexslider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:34:27 +0530] "GET /toursandtravelsmanagement/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:34:27 +0530] "GET /toursandtravelsmanagement/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:34:32 +0530] "GET /toursandtravelsmanagement/images/c1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:34:32 +0530] "GET /toursandtravelsmanagement/images/c2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:34:32 +0530] "GET /toursandtravelsmanagement/js/jquery-2.1.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:34:32 +0530] "GET /toursandtravelsmanagement/js/responsiveslides.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:34:32 +0530] "GET /toursandtravelsmanagement/js/SmoothScroll.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:34:32 +0530] "GET /toursandtravelsmanagement/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:34:32 +0530] "GET /toursandtravelsmanagement/js/easing.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:34:32 +0530] "GET /toursandtravelsmanagement/js/move-top.js HTTP/1.1" 304 -
